,Topic,Count,Name,Representation,Representative_Docs
96,95,1637,95_fox_news_cnn_foxnews,"['fox', 'news', 'cnn', 'foxnews', 'watch', 'murdoch', 'network', 'conservative', 'watching', 'viewers']","['fox news is d e a d', 'so is fox news', 'fox is also']"
97,96,1566,96_mcconnell_mitch_turtle_mcconnells,"['mcconnell', 'mitch', 'turtle', 'mcconnells', 'senate', 'tillerson', 'leader', 'boehner', 'senators', 'republican']","['mcconnell is behind this too', 'same as mcconnell', 'mcconnell is not one of us']"
98,97,1516,97_deep_state_treason_congress,"['deep', 'state', 'treason', 'congress', 'lawyers', 'staters', 'deepstate', 'sedition', 'operatives', 'stater']","[""that's why they call it the deep state"", 'deep state', 'the deep state']"
99,98,1506,98_fentanyl_science_drug_drugs,"['fentanyl', 'science', 'drug', 'drugs', 'dna', 'scientific', 'scientists', 'heroin', 'overdose', 'opioid']","[""that's their science at work for them"", 'just more science', 'fentanyl etc is not the issue']"
100,99,1503,99_treason_treasonous_penalty_death,"['treason', 'treasonous', 'penalty', 'death', 'punishment', 'sedition', 'united', 'coup', 'traitors', 'states']","['and treason', 'this is treason', 'and treason']"
101,100,1485,100_hannity_sean_hannitys_tick,"['hannity', 'sean', 'hannitys', 'tick', 'tock', 'guests', 'fox', 'radio', 'news', 'watch']","[""so now we know hannity's one of yours"", 'you go hannity', ""she's hannity with t i t s""]"
102,101,1429,101_moore_roy_michael_alabama,"['moore', 'roy', 'michael', 'alabama', 'judge', 'burr', 'moores', 'mcconnell', 'meadows', 'senate']","['where was he when the did it to judge moore', 'moore moore moore moore more of this stuff please ha ha maga', 'moore seems to be doing just that']"
103,102,1410,102_manchin_okeefe_veritas_kristol,"['manchin', 'okeefe', 'veritas', 'kristol', 'project', 'donnie', 'james', 'keefe', 'okeefes', 'sinema']","['project veritas is dead', 'great job project veritas', 'project veritas']"
104,103,1373,103_gas_gallon_fireworks_shoot,"['gas', 'gallon', 'fireworks', 'shoot', 'prices', 'cents', 'fuel', 'cannons', 'price', 'shot']","[""it used to be a few cents per gallon but i think the margin is wider now i've seen price differences of cents per gallon locally but then again as a percentage cents per gallon when gas is a gallon is almost the same margin as cents used to be when gas was a gallon"", 'tell us that again when a gallon of gas cost', 'price of gas here on was a gallon let me know when it gets back to that']"
105,104,1369,104_rino_rinos_dun_extinct,"['rino', 'rinos', 'dun', 'extinct', 'pos', 'hes', 'rid', 'bye', 'forget', 'ha']","[""he's a rino"", ""how many rino's do we have"", 'rinos gonna rino']"
106,105,1367,105_fraud_frauds_fraudci_evidence,"['fraud', 'frauds', 'fraudci', 'evidence', 'fraudulent', 'vitiates', 'massive', 'fraudsters', 'polls', 'approval']","['how can anyone take that fraud serious', 'fraud what fraud', 'fraud what fraud']"
107,106,1309,106_omar_ilhan_omars_tlaib,"['omar', 'ilhan', 'omars', 'tlaib', 'omarosa', 'elmi', 'brother', 'somalia', 'immigration', 'married']","[""omar's got to be in there"", 'as is omar', 'and omar']"
108,107,1305,107_disqus_comments_spam_comment,"['disqus', 'comments', 'spam', 'comment', 'tgp', 'sites', 'site', 'banned', 'post', 'posts']","['it was something to do with disqus it was here bb and disqus own site so i assume it was everywhere that used disqus seems better now', 'yeah something with disqus', 'go back to disqus']"
109,108,1285,108_kennedy_jfk_kennedys_oswald,"['kennedy', 'jfk', 'kennedys', 'oswald', 'assassination', 'nixon', 'holder', 'jfks', 'ted', 'cia']","[""rather like the dead kennedy's"", 'the last real kennedy', 'it was kennedy he is still there']"
110,109,1277,109_shocked_surprise_surprised_ha,"['shocked', 'surprise', 'surprised', 'ha', 'shocking', 'shock', 'surprising', 'surprises', 'shocker', 'joke']","[""i'm just not shocked or even surprised by it i question why anyone else would be"", ""someone tell me they're surprised and shocked by this"", ""well i'm just shocked and surprised not""]"
111,110,1275,110_jeb_carson_bush_gorka,"['jeb', 'carson', 'bush', 'gorka', 'jebs', 'ben', 'dr', 'jebbie', 'jebby', 'love']","['let jeb do it', 'no we know what jeb did with that mill', 'w h y j e b why jeb']"
112,111,1271,111_rush_limbaugh_rushs_cruz,"['rush', 'limbaugh', 'rushs', 'cruz', 'radio', 'today', 'listen', 'rushbo', 'said', 'listening']","['rush is right', 'and once again rush is right', 'never will there be another rush']"
113,112,1248,112_corruption_corrupt_smidgen_bernie,"['corruption', 'corrupt', 'smidgen', 'bernie', 'politicians', 'democrats', 'politician', 'democrat', 'trump', 'party']","['so where is the corruption', 'what corruption', ""or they're in on the corruption""]"
114,113,1241,113_pardon_pardons_pardoned_cohen,"['pardon', 'pardons', 'pardoned', 'cohen', 'lin', 'wood', 'warner', 'pardoning', 'convicted', 'presidential']","['he can pardon both', 'trump pardon', 'trump should pardon him now']"
115,114,1240,114_rand_paul_rove_karl,"['rand', 'paul', 'rove', 'karl', 'ron', 'pauls', 'paulie', 'senator', 'pauly', 'rands']","[""and rand paul's"", 'rand paul', 'rand paul never']"
116,115,1235,115_affirmative_floyd_action_george,"['affirmative', 'floyd', 'action', 'george', 'floyds', 'chauvin', 'hire', 'shaun', 'diversity', 'fentanyl']","['affirmative action what could go wrong', 'affirmative action at work there', 'affirmative action']"
117,116,1203,116_desantis_ron_trump_vp,"['desantis', 'ron', 'trump', 'vp', 'run', 'maga', 'running', 'president', 'hes', 'santis']","['without trump there would have been no desantis', 'trump desantis', 'trump desantis']"
118,117,1201,117_cheat_cheating_amazon_cheated,"['cheat', 'cheating', 'amazon', 'cheated', 'cheaters', 'snitches', 'snitch', 'boycott', 'win', 'censure']","['or cheat', 'the cheat is in', 'except when the cheat and they do cheat']"
119,118,1196,118_rnc_scotus_donate_candidates,"['rnc', 'scotus', 'donate', 'candidates', 'dnc', 'money', 'directly', 'donations', 'gop', 'republican']","['i will never give money to the rnc never', 'i only give to trump not the rnc', 'f the rnc']"
120,119,1188,119_bannon_steve_bannons_breitbart,"['bannon', 'steve', 'bannons', 'breitbart', 'trump', 'bb', 'room', 'warroom', 'trumps', 'war']","['good for bannon', 'bannon should be here too', 'bannon was']"
121,120,1180,120_airlines_airline_flight_plane,"['airlines', 'airline', 'flight', 'plane', 'delta', 'pilots', 'pilot', 'fly', 'flights', 'planes']","['does he work for united airlines on his off days', 'thanks i should know this i have flown for the airlines not this airline and believe it or not dad was a pilot and my brother is how ridiculous do i look oh and my nephew and uncle', ""airlines if you don't like it leave pilots ok airlines fascists""]"
122,121,1148,121_meth_monkeys_monkey_apes,"['meth', 'monkeys', 'monkey', 'apes', 'drugs', 'primates', 'flat', 'drug', 'planet', 'ape']","['meth is bad', ""he's back on the meth"", 'but they can do meth']"
123,122,1148,122_qanon_anon_chan_posts,"['qanon', 'anon', 'chan', 'posts', 'qs', 'shaman', 'pub', 'anons', 'deep', 'conspiracy']","['there is no qanon', 'and qanon', 'no qanon please']"
124,123,1146,123_sweden_swedish_swedes_rape,"['sweden', 'swedish', 'swedes', 'rape', 'vikings', 'turkey', 'norway', 'nato', 'swedens', 'muslim']","['why not sweden', ""sweden where's that"", 'sweden is over it']"
125,124,1135,124_soy_squirrel_midget_boy,"['soy', 'squirrel', 'midget', 'boy', 'soyboy', 'wayne', 'joggers', 'grift', 'midgets', 'boys']","['soy boy say what', 'found the soy boy', 'soy boy']"
126,125,1127,125_mitch_cocaine_mitchs_china,"['mitch', 'cocaine', 'mitchs', 'china', 'senate', 'ditch', 'turtle', 'rino', 'wife', 'leader']","[""it's just mitch"", 'd i t c h mitch', 'mitch must go']"
127,126,1118,126_djt_djts_mccaskill_president,"['djt', 'djts', 'mccaskill', 'president', 'claire', 'potus', 'dj', 'msm', 'maga', 'dems']","['we have your back djt', 'we have one djt', 'djt when a is b is etc']"
128,127,1074,127_assange_julian_embassy_manning,"['assange', 'julian', 'embassy', 'manning', 'clapper', 'ecuador', 'assanges', 'wikileaks', 'ecuadorian', 'hero']","['assange may already be dead', 'nor is assange', 'same as what they are trying to do to assange']"
129,128,1073,128_bus_train_truck_car,"['bus', 'train', 'truck', 'car', 'bridge', 'drive', 'cars', 'tracks', 'trains', 'optics']","['bus stop do we need to know anything else', 'i want to help i will drive the bus', 'the bus to nowhere']"
130,129,1068,129_upvotes_upvote_comment_lol,"['upvotes', 'upvote', 'comment', 'lol', 'awesome', 'posting', 'welcome', 'thanks', 'thank', 'great']","['a million upvotes', 'love your post we the people a million upvotes for that', ""now that's one funny comment thanks it's a great question too if i could give you a thousand upvotes i would""]"
131,130,1056,130_snake_rumble_snakes_dan,"['snake', 'rumble', 'snakes', 'dan', 'munster', 'eddie', 'tender', 'vipers', 'cobra', 'youtube']","['snake in snake out', 'call me snake', 'call me snake']"
132,131,1054,131_oz_fetterman_ford_blasey,"['oz', 'fetterman', 'ford', 'blasey', 'mclean', 'dr', 'fords', 'fettermans', 'biden', 'leland']","['dr oz has to defeat leftist fetterman stop speaking ill of oz and get on the right side of this', 'i thought oz was running against fetterman', 'true but we would still rather have fetterman than oz']"
133,132,1041,132_rosenstein_horowitz_sessions_mueller,"['rosenstein', 'horowitz', 'sessions', 'mueller', 'rosensteins', 'rod', 'fired', 'ag', 'huber', 'bias']","['then president trump can fire sessions and rosenstein', 'rosenstein also', 'fire sessions and rosenstein together']"
134,133,1038,133_dementia_joe_joes_patient,"['dementia', 'joe', 'joes', 'patient', 'alzheimers', 'fjb', 'alzheimer', 'legitimate', 'president', 'received']","['dementia joe did it first', 'if i was dementia joe i would just give it up already', 'dementia joe']"
135,134,1035,134_speech_free_violence_freedom,"['speech', 'free', 'violence', 'freedom', 'violent', 'left', 'military', 'supporters', 'right', 'leftists']","['free speech', 'free speech', 'so much for free speech']"
136,135,1016,135_rudy_giuliani_rudys_mayor,"['rudy', 'giuliani', 'rudys', 'mayor', 'nyc', 'giulianis', 'ag', 'ny', 'city', 'lawyer']","['rudy is or was there', 'well at least rudy is always on it', 'go rudy go']"
137,136,1005,136_durham_barr_durhams_investigation,"['durham', 'barr', 'durhams', 'investigation', 'report', 'indictments', 'john', 'justice', 'sussman', 'deep']","['durham is going after hillary', 'i hope so and that durham is going with him', 'so what is durham going to do about it']"
138,137,1003,137_civil_war_start_mexican,"['civil', 'war', 'start', 'mexican', 'hot', 'flag', 'cold', 'coming', 'country', 'wars']","['how many more before the next civil war', 'this is how you get a civil war', 'if there ever is a civil war']"
139,138,993,138_drudge_links_whatfinger_matt,"['drudge', 'links', 'whatfinger', 'matt', 'report', 'site', 'news', 'breitbart', 'sites', 'click']","['f k drudge', 'down with drudge', 'drudge who']"
140,139,956,139_clot_booster_shot_boosters,"['clot', 'booster', 'shot', 'boosters', 'clots', 'shots', 'warp', 'blood', 'speed', 'graphene']","[""it's called the clot shot"", 'another clot shot booster will fix everything', 'probably because of the clot shot']"
141,140,956,140_id_michigan_voter_ids,"['id', 'michigan', 'voter', 'ids', 'vote', 'florida', 'voting', 'photo', 'state', 'card']","['and voter id right', 'voter id', 'and voter id']"
142,141,954,141_clintons_clinton_murdoch_fox,"['clintons', 'clinton', 'murdoch', 'fox', 'murdochs', 'foundation', 'rupert', 'arkansas', 'jared', 'ailes']","['either of the clintons', 'move over clintons', ""the clintons can't get them all""]"
143,142,954,142_sheep_sheeple_wolves_sheeps,"['sheep', 'sheeple', 'wolves', 'sheeps', 'wolf', 'gates', 'clothing', 'farmland', 'slaughter', 'lamb']","[""well that's because there are no sheep around"", 'sheep will be sheep', 'too many sheep']"
144,143,928,143_acosta_jim_acostas_press,"['acosta', 'jim', 'acostas', 'press', 'cnn', 'wh', 'briefings', 'journalist', 'rude', 'reporter']","['just like acosta', 'why is acosta even there', 'take that acosta']"
145,144,921,144_collusion_russian_russia_fbi,"['collusion', 'russian', 'russia', 'fbi', 'declassify', 'russians', 'dossier', 'colluding', 'evidence', 'colluded']","['russian collusion', 'now this is collusion', 'and collusion']"
146,145,918,145_brazil_bolsonaro_lula_brazilian,"['brazil', 'bolsonaro', 'lula', 'brazilian', 'brazilians', 'guam', 'military', 'brazils', 'jair', 'hank']","['and what does say about brazil', 'do what brazil is doing', 'i stand with the people of brazil and bolsonaro']"
147,146,908,146_insanity_insane_sanity_awakening,"['insanity', 'insane', 'sanity', 'awakening', 'madness', 'critical', 'psyop', 'crazy', 'definition', 'mental']","['stop this insanity', 'insanity is as insanity does', 'more insanity']"
148,147,907,147_said_true_comparrison_lgeubank,"['said', 'true', 'comparrison', 'lgeubank', 'wulfrun', 'ty', 'suelinn', 'sherbie', 'bro', 'tbp']","['well said', 'well said', 'well said']"
149,148,906,148_avenatti_jarrett_valerie_cavuto,"['avenatti', 'jarrett', 'valerie', 'cavuto', 'rice', 'stormy', 'susan', 'iranian', 'michael', 'avenattis']","['valerie jarrett', 'valerie jarrett please', 'valerie jarrett']"
150,149,903,149_tea_demoncrats_party_demoncrat,"['tea', 'demoncrats', 'party', 'demoncrat', 'bern', 'demonrats', 'demonrat', 'libertarian', 'libertarians', 'governors']","['a tea party traitor', 'the tea party would get your fired', 'tea party']"
151,150,897,150_crickets_cosby_juan_weinstein,"['crickets', 'cosby', 'juan', 'weinstein', 'harvey', 'killary', 'oan', 'williams', 'women', 'cricket']","['crickets so far', 'crickets from joe', 'and crickets']"
152,151,896,151_kavanaugh_brett_kavanaughs_judge,"['kavanaugh', 'brett', 'kavanaughs', 'judge', 'barrett', 'hearings', 'confirmed', 'confirmation', 'justice', 'supreme']","[""if it's kavanaugh i don't know"", 'will they kavanaugh him', 'kavanaugh v']"
153,152,891,152_beck_glenn_becks_glen,"['beck', 'glenn', 'becks', 'glen', 'blaze', 'cheetos', 'radio', 'beckel', 'crazy', 'mormon']","['glenn beck said what', 'just like when glenn beck did it', 'with glenn beck']"
154,153,889,153_wallace_chris_fox_waldo,"['wallace', 'chris', 'fox', 'waldo', 'debate', 'wallaces', 'chrissy', 'biden', 'cnn', 'news']","['wallace ok', ""chris wallace just said this is a disaster for the democrats wallace can't stand trump but even he can't spin it any other way"", 'trump biden wallace']"
155,154,887,154_cockroaches_roaches_cockroach_light,"['cockroaches', 'roaches', 'cockroach', 'light', 'vampires', 'roach', 'bombshell', 'scatter', 'lights', 'breed']","['the cockroaches are running', 'like cockroaches from the light', 'they are like cockroaches they are all over america']"
156,155,873,155_amen_point_excellent_good,"['amen', 'point', 'excellent', 'good', 'brother', 'question', 'bro', 'damn', 'hearty', 'aaaaahhh']","['amen that', 'amen to that', 'amen to that']"
157,156,854,156_tar_duck_covfefe_feathers,"['tar', 'duck', 'covfefe', 'feathers', 'onion', 'wong', 'babylon', 'ting', 'bee', 'sum']","[""we're beyond tar and feathers at this point"", 'who has tar and who has feathers', 'as well as tar and feathers']"
158,157,843,157_lawyers_lawyer_attorneys_attorney,"['lawyers', 'lawyer', 'attorneys', 'attorney', 'bar', 'law', 'deep', 'school', 'association', 'state']","['the lawyers are americans', 'where are all the lawyers', 'mostly lawyers']"
159,158,843,158_chuck_chuckie_chucky_todd,"['chuck', 'chuckie', 'chucky', 'todd', 'buckwheat', 'norris', 'buck', 'chucks', 'matt', 'stops']","['up chuck', 'well done chuck well done', 'no chuck']"
160,159,823,159_psaki_karen_karens_jen,"['psaki', 'karen', 'karens', 'jen', 'metoo', 'psakis', 'pataki', 'pissaki', 'mask', 'movement']","['psaki to joe', 'i could never work with psaki', ""psaki's middle name is probably karen""]"
161,160,807,160_nadler_clarke_sheriff_cain,"['nadler', 'clarke', 'sheriff', 'cain', 'nadless', 'louie', 'nads', 'nadlers', 'jerry', 'herman']","['a nadler', 'now do nadler', 'where is nadler']"
162,161,806,161_poland_hungary_nato_polish,"['poland', 'hungary', 'nato', 'polish', 'hungarian', 'hungarians', 'europe', 'orban', 'czech', 'eu']","['to czech hungary and poland', ""i'd move them to poland and hungary just to make the point extra clear"", 'hungary poland and russia']"
163,162,802,162_lemon_don_lemons_lock,"['lemon', 'don', 'lemons', 'lock', 'lemonade', 'cnn', 'anderson', 'cooper', 'lemonhead', 'sour']","['f lemon', 'don lemon', 'the next don lemon']"
164,163,800,163_tax_taxes_pay_income,"['tax', 'taxes', 'pay', 'income', 'money', 'paying', 'government', 'conservatives', 'payers', 'irs']","['yet you need to pay more in taxes', 'also time to stop paying income tax or taxes of any kind to any country', 'we pay taxes why again']"
165,164,792,164_oil_pipeline_production_gas,"['oil', 'pipeline', 'production', 'gas', 'keystone', 'drilling', 'energy', 'prices', 'barrels', 'opec']","[""the price of gas you pay is based on the price of oil so if you buy your oil from usa or where ever doesn't matter it is based on the global price of oil if global demand for oil is greater than supply the price goes up in the last year oil rigs in usa went from to the peak oil rig count was pre covid by the time trump left office the rig count was if cost barrel oil for texas crude north dakota alaska canada oil sands keystone pipeline and russia saudia arabia so if the price of oil drops below those value those wells get shut down or they will go out of business since the price of oil is high many oil rigs will go online future contracts predict in a year in two years and in years so if anyone says biden shut down usa oil wells is a losing and inaccurate opinion since of the oil wells were shut down during the trump administration bottom line covid is responsible for the high oil prices americans and american news media are too stupid to insult the president has no effect on the price of gas"", ""and oil don't forget our oil"", 'take the oil trump']"
166,165,774,165_nuclear_nuke_nukes_missile,"['nuclear', 'nuke', 'nukes', 'missile', 'neutron', 'missiles', 'nuked', 'weapons', 'reactor', 'launch']","['yeah go nuclear', 'nuclear power bad nuclear war good', 'show the world nuclear is the way']"
167,166,774,166_strzok_stone_peter_roger,"['strzok', 'stone', 'peter', 'roger', 'strzoks', 'page', 'strozk', 'ba', 'manafort', 'fbi']","['he strzok lies', 'peter strzok', 'except for strzok']"
168,167,773,167_bs_plan_triggered_planned,"['bs', 'plan', 'triggered', 'planned', 'hurts', 'naive', 'simpleton', 'dense', 'pessimism', 'prediction']","['i call bs', 'what bs', ""no that's bs""]"
169,168,769,168_whistleblower_whistleblowers_ciaramella_whistle,"['whistleblower', 'whistleblowers', 'ciaramella', 'whistle', 'blower', 'clapper', 'brennan', 'complaint', 'eric', 'podesta']","['where is a whistleblower when you need one', 'who is this whistleblower', 'because there is no whistleblower']"
170,169,759,169_debate_debates_moderators_moderator,"['debate', 'debates', 'moderators', 'moderator', 'dean', 'candidates', 'presidential', 'commission', 'questions', 'trump']","['there is no way he can debate trump', 'there will never be a debate', ""that's part of the debate""]"
171,170,757,170_xiden_xidens_regime_xi,"['xiden', 'xidens', 'regime', 'xi', 'joe', 'puppet', 'installed', 'won', 'illegitimate', 'xinn']","['xiden was wrong again', 'if only xiden were a real president', 'joe xiden']"
172,171,755,171_africa_south_zimbabwe_mandela,"['africa', 'south', 'zimbabwe', 'mandela', 'african', 'africans', 'farmers', 'apartheid', 'mugabe', 'rhodesia']","[""well there's always back to africa"", 'go back to africa', 'south africa']"
173,172,750,172_mike_big_mikes_mikey,"['mike', 'big', 'mikes', 'mikey', 'mini', 'rowe', 'hes', 'halfrican', 'tranny', 'gorilla']","[""where's big mike"", 'big mike too', 'or big mike']"
174,173,724,173_schumer_schumers_chuck_shutdown,"['schumer', 'schumers', 'chuck', 'shutdown', 'sunday', 'upchuck', 'ways', 'chucky', 'schmucky', 'schmuck']","['schumer got mill for that one', 'p o schumer', 'rather him than schumer']"
175,174,721,174_uniparty_ron_party_deperno,"['uniparty', 'ron', 'party', 'deperno', 'unipartys', 'republican', 'gope', 'trump', 'republicans', 'members']","['we already have a uniparty in d c', 'the uniparty', 'the uniparty']"
176,175,719,175_brandon_lets_brandons_fjb,"['brandon', 'lets', 'brandons', 'fjb', 'lesco', 'won', 'clap', 'maga', 'itunes', 'chant']","['lets go brandon', 'lets go brandon', 'lets go brandon']"
177,176,712,176_jim_jimbo_jims_thank,"['jim', 'jimbo', 'jims', 'thank', 'congratulations', 'thanks', 'congrats', 'great', 'good', 'safe']","['i you jim', 'well done jim', 'jim who']"
178,177,711,177_jones_alex_van_clinton,"['jones', 'alex', 'van', 'clinton', 'kushner', 'clintons', 'infowars', 'hillary', 'jared', 'foundation']","['alex jones', 'alex jones should have him on', 'alex jones']"
179,178,701,178_manafort_solitary_mueller_gowdy,"['manafort', 'solitary', 'mueller', 'gowdy', 'manaforts', 'confinement', 'flynn', 'paul', 'nunes', 'campaign']","['is manafort a criminal if so how', 'good for manafort', 'at least the fbi got manafort']"
180,179,695,179_spot_good_sure_yup,"['spot', 'good', 'sure', 'yup', 'aarpy', 'oh', 'rambler', 'sybil', 'thanks', 'yep']","['spot on', 'spot on', 'spot on']"
181,180,688,180_feinstein_harris_biden_feinsteins,"['feinstein', 'harris', 'biden', 'feinsteins', 'diane', 'dianne', 'spy', 'chinese', 'driver', 'senator']","['because feinstein told her who it was', 'or just feinstein it', ""that's feinstein with me""]"
182,181,676,181_thank_tbp_yew_ye,"['thank', 'tbp', 'yew', 'ye', 'guys', 'thanks', '', '', '', '']","['thank you', 'thank you', 'thank you']"
183,182,673,182_australia_aussies_australians_aussie,"['australia', 'aussies', 'australians', 'aussie', 'australian', 'zealand', 'refugees', 'nz', 'guns', 'nazi']","['make australia great again', 'were the f is australia', 'go australia']"
184,183,659,183_video_cletus_bang_gem,"['video', 'cletus', 'bang', 'gem', 'pronounced', 'nag', 'link', 'pronounce', 'rhymes', 'naggers']","['and take video please', ""where's the video"", 'where is the video']"
185,184,630,184_levin_mark_levins_beck,"['levin', 'mark', 'levins', 'beck', 'limbaugh', 'radio', 'listen', 'cruz', 'trumper', 'trump']","['trump levin', 'i am so over levin', 'so is levin']"
186,185,623,185_jury_jurors_juror_mistrial,"['jury', 'jurors', 'juror', 'mistrial', 'judicial', 'judge', 'trial', 'verdict', 'juries', 'nullification']","['are you on the jury', 'who is on the jury', 'not if i was on the jury']"
187,186,623,186_numbers_number_projection_projecting,"['numbers', 'number', 'projection', 'projecting', 'twain', 'experts', 'expert', 'stats', 'digits', 'mark']","['they have the numbers', 'more we have the numbers', 'this is what it will take numbers']"
188,187,622,187_amish_mono_stolen_mennonites,"['amish', 'mono', 'stolen', 'mennonites', 'party', 'mennonite', 'buggy', 'quakers', 'darn', 'buggies']","['is he amish', 'amish again', 'amish at it again i see']"
189,188,619,188_banana_republic_republics_bananas,"['banana', 'republic', 'republics', 'bananas', 'officially', 'america', 'world', 'live', 'laws', 'welcome']","['banana republic', 'banana republic banana republic banana republic banana republic', 'banana republic']"
190,189,616,189_lefties_lefty_left_leftards,"['lefties', 'lefty', 'left', 'leftards', 'generals', 'leftys', 'leftard', 'military', 'commander', 'leftie']","['lefties are into everything', 'there are lefties here too', 'not all of them only the lefties']"
191,190,610,190_betcha_course_oh_blechhhh,"['betcha', 'course', 'oh', 'blechhhh', 'ftsb', 'showum', 'betchum', 'friend', 'tooooooooooooo', 'becha']","['you betcha', 'you betcha', 'you betcha']"
192,191,598,191_rubio_rubios_marco_amnesty,"['rubio', 'rubios', 'marco', 'amnesty', 'florida', 'jeb', 'cruz', 'gang', 'establishment', 'trump']","[""he'd be to the right of rubio"", 'rubio is done', 'rubio is in on it']"
193,192,595,192_tds_coincidence_coincidences_twilight,"['tds', 'coincidence', 'coincidences', 'twilight', 'zone', 'decertification', 'terminal', 'decertify', 'cure', 'suffering']","['in this case tds', 'tds is real', 'tds perhaps']"
194,193,594,193_comment_comments_section_post,"['comment', 'comments', 'section', 'post', 'deleted', 'reply', 'aboard', 'quote', 'read', 'edit']","['the comment section is for children', ""hahahahahahaha reported for commenting in the comment section that's hilarious you do know that's the purpose of the comment section to comment are you confused about how all this works you post a comment someone replies you answer that reply they reply to your reply you answer back they answer back it's called a thread that's how this works if you don't want that interaction you shouldn't reply the comment section is open to everyone to post a comment and reply to whomever they want by posting a comment you are starting a 'conversation ' by replying to a comment you are taking part in a 'conversation ' if you don't want that maybe you shouldn't reply"", ""why can't i see this comment""]"
195,194,589,194_garland_merrick_garlands_ag,"['garland', 'merrick', 'garlands', 'ag', 'wray', 'supreme', 'court', 'crt', 'domestic', 'justice']","['and i believe we all know what garland and cnn can go do with themselves', ""i'm sure merrick garland is all over this one"", 'if garland comes so do we the people']"
196,195,588,195_dementia_alzheimers_alzheimer_patient,"['dementia', 'alzheimers', 'alzheimer', 'patient', 'patients', 'stage', 'early', 'meds', 'onset', 'signs']","['he has dementia', 'he has dementia so', 'what dementia']"
197,196,586,196_mcstain_murkowski_mcshame_collins,"['mcstain', 'murkowski', 'mcshame', 'collins', 'mclame', 'kevin', 'mcmuffin', 'mcstains', 'alaska', 'flake']","['john mcstain', 'so did mcstain', 'and to mcstain']"
198,197,585,197_denial_november_january_th,"['denial', 'november', 'january', 'th', 'patience', 'moron', 'jan', 'zero', 'nov', 'april']","['i see you are still in denial', 'denial much', 'be in denial']"
199,198,585,198_spam_spammer_flagged_marked,"['spam', 'spammer', 'flagged', 'marked', 'posts', 'spammers', 'flag', 'spamming', 'overdue', 'unavailable']","['spam spam spam spam spam spam spam spam spam spam spam spam spam', 'spam spam another spam', 'get back in your can spam']"
200,199,576,199_sarcasm_sarcastic_tag_comment,"['sarcasm', 'sarcastic', 'tag', 'comment', 'hilarious', 'missed', 'meter', 'post', 'dripping', 'read']","['it was sarcasm', 'nothing it was sarcasm', 'he is all about sarcasm']"
201,200,574,200_karma_biotch_karmas_bitch,"['karma', 'biotch', 'karmas', 'bitch', 'instant', 'comes', 'tch', 'biatch', 'gonna', 'ha']","[""i'm all for karma"", ""that's karma"", 'this is karma']"
202,201,572,201_chicoms_chicom_chicongo_chicomms,"['chicoms', 'chicom', 'chicongo', 'chicomms', 'chico', 'goals', 'mission', 'ammo', 'world', 'collaborator']","['it s how the chicoms think all along', 'more like the chicoms', 'it is the chicoms now']"
203,202,572,202_jill_dr_tulsi_jills,"['jill', 'dr', 'tulsi', 'jills', 'gabbard', 'nurse', 'doctor', 'jilly', 'diaper', 'jilldo']","['its dr jill', 'anyone other than dr jill again', 'jill will get right on that']"
204,203,572,203_abrams_stacey_stacy_candace,"['abrams', 'stacey', 'stacy', 'candace', 'owens', 'georgia', 'tank', 'governor', 'april', 'buffet']","['stacey abrams too', 'something that stacey abrams can do all by herself', 'stacey abrams']"
205,204,572,204_pedophilia_pedophiles_pedophile_gay,"['pedophilia', 'pedophiles', 'pedophile', 'gay', 'marriage', 'gays', 'disgrace', 'homosexual', 'homosexuality', 'ticket']","['pedophiles all', 'hahaha this is like pedophiles declaring war on pedophilia', 'you just support pedophilia']"
206,205,571,205_jordan_ronna_jim_mcdaniel,"['jordan', 'ronna', 'jim', 'mcdaniel', 'speaker', 'rnc', 'jordans', 'mcdaniels', 'rona', 'gop']","['jim jordan', 'jim jordan', 'or jim jordan']"
207,206,559,206_nyt_nyts_cnn_rag,"['nyt', 'nyts', 'cnn', 'rag', 'news', 'msm', 'fake', 'story', 'propaganda', 'readers']","['nyt not your take', ""nyt are nutiz's"", 'and f the nyt']"
208,207,559,207_sarc_tag_sarcasm_forgot,"['sarc', 'tag', 'sarcasm', 'forgot', 'gee', 'add', 'oh', 'sarcastic', 'yeah', 'comment']","['nothing to see here move along sarc', 'is that sarc', 'sarc i see']"
209,208,558,208_amen_preach_sister_googletrends,"['amen', 'preach', 'sister', 'googletrends', 'tasks', 'brother', 'easy', 'disconcerted', 'www', 'activity']","['amen amen and amen', 'amen so be it', 'amen amen amen']"
210,209,557,209_balloon_balloons_history_weather,"['balloon', 'balloons', 'history', 'weather', 'repeat', 'spy', 'repeats', 'repeating', 'airspace', 'norad']","[""k to take out a balloon ridiculous that's if anything was shot down"", 'chinese balloon boy', 'they were just looking for their lost balloon']"
211,210,549,210_senate_senators_landslide_senator,"['senate', 'senators', 'landslide', 'senator', 'gop', 'win', 'republican', 'majority', 'trump', 'vote']","['with the senate i think', 'indeed we have enough of those already in the senate', 'only in the senate']"
212,211,545,211_goat_goats_humpers_herders,"['goat', 'goats', 'humpers', 'herders', 'male', 'old', 'fking', 'herding', 'lovers', 'scape']","['the goat', 'not from the back of a goat', 'someone could mistake her for an old goat and we know what they do to goats over there']"
